time	V(bus02)	V(bus03)	V(bus04)	V(vinn)	V(vinp)
Step Information: Ibias=63µ  (Run: 1/3)
2.209383907151693e-02	8.379559e-01	7.494230e-01	8.685375e-01	1.104692e+00	1.395308e+00
2.219149532151693e-02	8.376391e-01	7.494831e-01	8.681470e-01	1.109575e+00	1.390425e+00
2.228915157151693e-02	8.372713e-01	7.495543e-01	8.676844e-01	1.114458e+00	1.385542e+00
2.238680782151694e-02	8.368432e-01	7.496387e-01	8.671362e-01	1.119340e+00	1.380660e+00
2.248446407151694e-02	8.363440e-01	7.497384e-01	8.664877e-01	1.124223e+00	1.375777e+00
2.258212032151694e-02	8.357615e-01	7.498562e-01	8.657219e-01	1.129106e+00	1.370894e+00
2.267977657151694e-02	8.350820e-01	7.499949e-01	8.648199e-01	1.133989e+00	1.366011e+00
2.277743282151694e-02	8.342903e-01	7.501575e-01	8.637608e-01	1.138872e+00	1.361128e+00
2.287508907151694e-02	8.333698e-01	7.503476e-01	8.625225e-01	1.143754e+00	1.356246e+00
2.297274532151694e-02	8.323025e-01	7.505686e-01	8.610810e-01	1.148637e+00	1.351363e+00
2.307040157151695e-02	8.310696e-01	7.508244e-01	8.594120e-01	1.153520e+00	1.346480e+00
2.316805782151695e-02	8.296515e-01	7.511184e-01	8.574908e-01	1.158403e+00	1.341597e+00
2.326571407151695e-02	8.280286e-01	7.514543e-01	8.552934e-01	1.163286e+00	1.336714e+00
2.336337032151695e-02	8.261814e-01	7.518352e-01	8.527975e-01	1.168169e+00	1.331831e+00
2.346102657151695e-02	8.240918e-01	7.522641e-01	8.499834e-01	1.173051e+00	1.326949e+00
2.355868282151695e-02	8.217428e-01	7.527431e-01	8.468349e-01	1.177934e+00	1.322066e+00
2.365633907151695e-02	8.191196e-01	7.532737e-01	8.433402e-01	1.182817e+00	1.317183e+00
2.375399532151696e-02	8.162099e-01	7.538567e-01	8.394926e-01	1.187700e+00	1.312300e+00
2.385165157151696e-02	8.130038e-01	7.544920e-01	8.352906e-01	1.192583e+00	1.307417e+00
2.394930782151696e-02	8.094946e-01	7.551785e-01	8.307384e-01	1.197465e+00	1.302535e+00
2.404696407151696e-02	8.056780e-01	7.559144e-01	8.258459e-01	1.202348e+00	1.297652e+00
2.414462032151696e-02	8.015527e-01	7.566972e-01	8.206280e-01	1.207231e+00	1.292769e+00
2.424227657151696e-02	7.971196e-01	7.575234e-01	8.151046e-01	1.212114e+00	1.287886e+00
2.433993282151696e-02	7.923822e-01	7.583892e-01	8.092999e-01	1.216997e+00	1.283003e+00
2.443758907151697e-02	7.873455e-01	7.592901e-01	8.032419e-01	1.221879e+00	1.278121e+00
2.453524532151697e-02	7.820165e-01	7.602211e-01	7.969618e-01	1.226762e+00	1.273238e+00
2.463290157151697e-02	7.764032e-01	7.611771e-01	7.904935e-01	1.231645e+00	1.268355e+00
2.473055782151697e-02	7.705151e-01	7.621526e-01	7.838728e-01	1.236528e+00	1.263472e+00
2.482821407151697e-02	7.643622e-01	7.631419e-01	7.771375e-01	1.241411e+00	1.258589e+00
2.492587032151697e-02	7.579554e-01	7.641394e-01	7.703259e-01	1.246294e+00	1.253706e+00
2.512118282151697e-02	7.444264e-01	7.661355e-01	7.566327e-01	1.256059e+00	1.243941e+00
2.521883907151698e-02	7.373286e-01	7.671229e-01	7.498307e-01	1.260942e+00	1.239058e+00
2.531649532151698e-02	7.300254e-01	7.680956e-01	7.431110e-01	1.265825e+00	1.234175e+00
2.541415157151698e-02	7.225299e-01	7.690482e-01	7.365124e-01	1.270708e+00	1.229292e+00
2.551180782151698e-02	7.148557e-01	7.699757e-01	7.300721e-01	1.275590e+00	1.224410e+00
2.560946407151698e-02	7.070163e-01	7.708731e-01	7.238259e-01	1.280473e+00	1.219527e+00
2.570712032151698e-02	6.990261e-01	7.717358e-01	7.178072e-01	1.285356e+00	1.214644e+00
2.580477657151698e-02	6.908993e-01	7.725599e-01	7.120468e-01	1.290239e+00	1.209761e+00
2.590243282151699e-02	6.826503e-01	7.733416e-01	7.065719e-01	1.295122e+00	1.204878e+00
2.600008907151699e-02	6.742940e-01	7.740778e-01	7.014059e-01	1.300004e+00	1.199996e+00
2.609774532151699e-02	6.658450e-01	7.747662e-01	6.965677e-01	1.304887e+00	1.195113e+00
